"country_of_origin" "count" "highest_score" "lowest_score" "mean_score" "long" "lat" "group" "order" "subregion"
"166" "Brazil" 132 88.83 70.67 82.4059090909091 -49.628662109375 -0.229199171066284 11 254 "Ilha de Marajo"
"167" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6528816223145 -0.131640493869781 12 256 "Ilha Queimada"
"168" "Brazil" 132 88.83 70.67 82.4059090909091 -50.9263687133789 -0.327343970537186 12 257 "Ilha Queimada"
"169" "Brazil" 132 88.83 70.67 82.4059090909091 -51.0189933776855 -0.263086199760437 12 258 "Ilha Queimada"
"170" "Brazil" 132 88.83 70.67 82.4059090909091 -51.0380859375 -0.225878864526749 12 259 "Ilha Queimada"
"171" "Brazil" 132 88.83 70.67 82.4059090909091 -51.0223617553711 -0.188378781080246 12 260 "Ilha Queimada"
"172" "Brazil" 132 88.83 70.67 82.4059090909091 -51.0257301330566 -0.172363460063934 12 261 "Ilha Queimada"
"173" "Brazil" 132 88.83 70.67 82.4059090909091 -50.9950714111328 -0.105273544788361 12 262 "Ilha Queimada"
"174" "Brazil" 132 88.83 70.67 82.4059090909091 -50.8421859741211 -0.05019511282444 12 263 "Ilha Queimada"
"175" "Brazil" 132 88.83 70.67 82.4059090909091 -50.7652816772461 -0.0408690795302391 12 264 "Ilha Queimada"
"176" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6669921875 -0.0580079630017281 12 265 "Ilha Queimada"
"177" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6505851745605 -0.105859108269215 12 266 "Ilha Queimada"
"178" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6528816223145 -0.131640493869781 12 267 "Ilha Queimada"
"179" "Brazil" 132 88.83 70.67 82.4059090909091 -49.4438972473145 -0.11240229010582 13 269 "Ihla Mexiana"
"180" "Brazil" 132 88.83 70.67 82.4059090909091 -49.7088394165039 -0.143749952316284 13 270 "Ihla Mexiana"
"181" "Brazil" 132 88.83 70.67 82.4059090909091 -49.830078125 -0.093896321952343 13 271 "Ihla Mexiana"
"182" "Brazil" 132 88.83 70.67 82.4059090909091 -49.8026847839355 -0.0518555454909801 13 272 "Ihla Mexiana"
"183" "Brazil" 132 88.83 70.67 82.4059090909091 -49.7123069763184 0.0151369711384177 13 273 "Ihla Mexiana"
"184" "Brazil" 132 88.83 70.67 82.4059090909091 -49.6021957397461 0.0626953318715096 13 274 "Ihla Mexiana"
"185" "Brazil" 132 88.83 70.67 82.4059090909091 -49.5034675598145 0.0836913734674454 13 275 "Ihla Mexiana"
"186" "Brazil" 132 88.83 70.67 82.4059090909091 -49.4004859924316 0.0572264529764652 13 276 "Ihla Mexiana"
"187" "Brazil" 132 88.83 70.67 82.4059090909091 -49.372314453125 0.00107429595664144 13 277 "Ihla Mexiana"
"188" "Brazil" 132 88.83 70.67 82.4059090909091 -49.380859375 -0.0554686151444912 13 278 "Ihla Mexiana"
"189" "Brazil" 132 88.83 70.67 82.4059090909091 -49.4438972473145 -0.11240229010582 13 279 "Ihla Mexiana"
"190" "Brazil" 132 88.83 70.67 82.4059090909091 -49.7382316589355 0.268164306879044 14 281 "Ilha Caviana"
"191" "Brazil" 132 88.83 70.67 82.4059090909091 -49.697265625 0.215966701507568 14 282 "Ilha Caviana"
"192" "Brazil" 132 88.83 70.67 82.4059090909091 -49.8389663696289 0.00688466103747487 14 283 "Ilha Caviana"
"193" "Brazil" 132 88.83 70.67 82.4059090909091 -49.9170875549316 -0.0231933314353228 14 284 "Ilha Caviana"
"194" "Brazil" 132 88.83 70.67 82.4059090909091 -50.0024909973145 -0.0292970519512892 14 285 "Ilha Caviana"
"195" "Brazil" 132 88.83 70.67 82.4059090909091 -50.1131362915039 0.0330080986022949 14 286 "Ilha Caviana"
"196" "Brazil" 132 88.83 70.67 82.4059090909091 -50.2855949401855 0.0285642370581627 14 287 "Ilha Caviana"
